artist	song	video_id	confidence	source	score	duration	channel	title	alternates
Aaron Goodvin	You Are	eMtRJl2il9w	high	search	95	185	Aaron Goodvin	Aaron Goodvin - You Are - Official Music Video	AXEd6pDoFDA 40 Kasey Todd: You Are - Aaron Goodvin | VFL762qpB_w 26 Aaron Goodvin: Aaron Goodvin - Lonely Drum - Official Music Video | jijvxtLXgfo 19 Aaron Goodvin: Aaron Goodvin - You Ain't (Official Lyric Video)
ABC	The Look Of Love	cNEdxZURTaI	low	search	64	212	ABC Martin Fry	ABC - The Look Of Love	dwJTQfx0Neo 53 ABC Martin Fry: The Look Of Love | VhVPU1Brmos 43 TopPop: ABC - The Look Of Love (1982) • TopPop | X9uwAs5QfiE 41 Danceelectric: ABC - The Look Of Love - Full Length - HQ
AC/DC	It's A Long Way to the Top (If You Wanna Rock 'N' Roll)	GChhRrU6BJU	high	search	86	304	AC/DC	AC/DC - It's a Long Way to the Top (If You Wanna Rock 'N' Roll) (Audio)	4ruJ4kAGbLc 75 AC/DC: It's a Long Way to the Top (If You Wanna Rock 'n' Roll) | g-qkY2yj4_A 52 Enhanced Music Videos: AC/DC - It's A Long Way To The Top [Official Music Video], Full HD (Remaster, Resy | j9Z39Uqybcw 46 Official Lives & Music Videos - Official Channel: AC/DC - It's a Long Way to the Top (If You Wanna Rock '
AC/DC	Moneytalks	2lqdErI9uss	high	search	89	226	AC/DC	AC/DC - Moneytalks (Official HD Video)	LBYZoc9lnvE 56 AC/DC: AC/DC - Moneytalks (Live at Donington, 8/17/91) | gyWGWDUXocw 46 AC/DC: Moneytalks (Live - 1991) | y37LZarWRKk 40 2083030: AC/DC - Money Talks
AC/DC	Thunderstruck	v2AC41dglnM	high	search	95	293	AC/DC	AC/DC - Thunderstruck (Official Video)	Af0P6XEkI7Y 57 AC/DC: AC/DC - Thunderstruck (Live at Donington, August 17, 1991 - Official HD Video) | n_GFN3a0yj0 54 AC/DC: AC/DC - Thunderstruck (Live At River Plate, December 2009) | mBksMIl9Kf0 41 RockHype: AC/DC - Thunderstruck
AC/DC	You Shook Me All Night Long	Lo2qQmj0_h4	high	search	89	209	AC/DC	AC/DC - You Shook Me All Night Long (Official 4K Video)	zWCINQn6k0s 88 AC/DC: AC/DC - You Shook Me All Night Long (Official HD Video [Who Made Who]) | zakKvbIQ28o 54 AC/DC: AC/DC - You Shook Me All Night Long (Live At River Plate, December 2009) | 3G6oLyWohUg 40 Luis Andres Arteaga Romero: AC/DC  -  You Shook Me All Night Long (HQ)
Ace Of Base	Beautiful Life	wh-07BzfgYY	high	search	95	223	Ace of Base	Ace of Base - Beautiful Life (Official Music Video)	1RS-1IKrNIg 46 VibersVibin: Ace of Base - Beautiful Life (Lyrics) | S6yu0i5P4Qc 40 Marina Prado: Ace of Base -  Beautiful Life (1995)🎧🎼🎵🎶 | IlEdx7N8lqU 38 Popular Music English: Ace of Base - Beautiful Life (Audio)
Ace Of Base	Cruel Summer	sUt0ut92vek	high	search	95	215	Ace of Base	Ace of Base - Cruel Summer [U.S. Version] (Official Video)	YYZwfssm7lc 93 Ace of Base: Ace of Base - Cruel Summer [Big Bonus Mix] (Official Music Video) | ZogE9W55heE 86 Ace of Base: Ace of Base - Cruel Summer (Lyric Video) | YqS5eIeVlvU 38 Maxi Remix: Ace Of Base - Cruel Summer (Album Version) 1998
ACRAZE	Believe (feat. Goodboys)	rht_fkVLk8I	high	search	87	189	ACRAZE	ACRAZE - Believe ft. Goodboys	"yyKGUJTR_Kc 86 ACRAZE: ACRAZE - Believe (Visualizer) ft. Goodboys | 5zfVb7Y6rZU 45 The Vibe Guide: ACRAZE - Believe (Lyrics) ""I need a miracle"" | vvx9yp27mAg 44 Dan Music: ACRAZE - Believe (Lyrics) ft. Goodboys"
Adam Ant	Goody Two Shoes	o41A91X5pns	low	search	64	202	adamantdotnet	Adam Ant - Goody Two Shoes	QpW4xYs57lc 55 adamantdotnet: Goody Two Shoes | dXH3n5kgqtg 50 Enhanced Music Videos: Adam Ant - Goody Two Shoes [Official Music Video], Full HD (Remastered and Upscale | 27Tj-Xo_eqI 39 fritz51334: Adam Ant - Goody two Shoes 1982
Adam Lambert	For Your Entertainment	IsPFDzAGb4A	high	search	95	217	Adam Lambert	Adam Lambert - For Your Entertainment (Official Video)	f9wAFmfhpmU 86 Adam Lambert: Adam Lambert - For Your Entertainment | CL-4KaRTx5c 60 AdamLambertMexico: Adam Lambert For Your Entertainment [Audio] | 0F2hqlV8-N8 40 J L: For your Entertainment Adam Lambert lyrics
Adam Levine	Good Mood - Original Song From Paw Patrol: The Movie	UUI5fgxpzgI	high	search	88	211	Adam Levine - Topic	Good Mood (Original Song From Paw Patrol: The Movie)	"ivIvRg9bGu0 -13 Interscope Records: Adam Levine - Good Mood (From PAW Patrol: The Movie Soundtrack) [Official Audio] | d64G6N-po-g -18 Paramount Pictures: PAW Patrol: The Movie (2021) - ""Adam Levine – Good Mood – Lyric Video"" - Paramount P | 8wuXE4Yul4U -20 Loku: Adam Levine - Good Mood (Lyrics)"
Adam Port	Move (feat. Camila Cabello, Stryv, Keinemusick)	si6Ox8IuZeU	low	search	55	181	Camila Cabello	Move (feat. Camila Cabello) - Adam Port, Stryv, Malachiii, Orso (Official Visualizer)	k2g3Wh8MEg0 13 Marcos Daudt Live!: ADAM PORT (KEINEMUSIK) 4K: Move - Live in Rio de Janeiro 2025 Carnival at Sambadrome! | 1EVeFp-oKZg -26 keinemusik: Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala) | 2u6RTgti_8k -80 Dennis Gold: Dennis Gold AFRO HOUSE MIX In Style Of Keinemusik, Adam Port, Moojo / SUNSET DJ SET 2026
Adam Port	Move (feat. Stryv, Keinemusick)	si6Ox8IuZeU	low	search	55	181	Camila Cabello	Move (feat. Camila Cabello) - Adam Port, Stryv, Malachiii, Orso (Official Visualizer)	k2g3Wh8MEg0 12 Marcos Daudt Live!: ADAM PORT (KEINEMUSIK) 4K: Move - Live in Rio de Janeiro 2025 Carnival at Sambadrome! | 1EVeFp-oKZg -27 keinemusik: Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala) | 2ECWX8GdDvA -87 MayanWarrior: Keinemusik (&ME, Rampa, Adam Port) - Mayan Warrior - Burning Man 2022
Afrojack	Awake Tonight (Feat. David Guetta, Sia)	lpgt1lex3P0	low	search	64	190	Afrojack and 2 more	Afrojack, Sia, David Guetta - Awake Tonight (lyric video)	CjRXgbm912U 46 WaveMusic: AFROJACK, Sia, David Guetta - Awake Tonight (Lyrics) | FNEIm-AHe4o 38 nyrewes 2: David Guetta & AFROJACK ft. Sia - Awake Tonight ID [Ultra 2026] | ht9W47kaZys 20 Illumi Music: AFROJACK, Sia, David Guetta - Awake Tonight (Extended Mix)
Afrojack	Day N Night (feat. Black V Neck, Muni Long)	4kXD4CwDPkA	high	search	87	178	Afrojack	AFROJACK, Black V Neck - Day N Night (Audio) ft. Muni Long	I0WFHHuTNNg 43 Illumi Music: Afrojack & Black V Neck - Day N Night (feat. Muni Long) | Cm-ok9aFFBs 40 XeonBeats: Afrojack & Black V Neck - Day N Night (Lyrics) [feat. Muni Long] | yqbQoRLxziU 38 Astralwerks Records: Afrojack & Black V Neck - Day N Night (feat. Muni Long)
Afrojack	Hero (Dubvision Remix)	U7FFX_OQNRw	high	search	87	232	Afrojack	Afrojack & David Guetta - Hero (Dubvision Remix)	heVV3Pj1360 41 This Vibe: Afrojack & David Guetta - Hero (DubVision Extended Remix) | GpFQrH8AjKw 40 GooseBumps HouSe MuSic: Hero (Dubvision Remix) David Guetta, Afrojack, Dubvision | tl4aRmaaiUc 39 Arnold Vibe: Afro jack & David Guetta - Hero ( Dubvision Remix ) [ HomeOf EDMMusic  PRESENTS ]
Afrojack	Hero (feat. David Guetta, Luxtides)	cZSoOQ-7Cuc	high	search	93	187	Afrojack	Afrojack & David Guetta - Hero (Official Music Video)	7u417sYommQ 87 Afrojack: Afrojack & David Guetta - Hero (Official Lyric Video) | 6cTee5vZKRs 46 Afrojack: Afrojack & David Guetta - Hero ft. Luxtides (Acoustic) | YiW0_NZF3Lg 38 Lexie Jaye: David Guetta + Afrojack Featuring Luxtides Hero Lyrics
Afrojack	Take Over Control (feat. Eva Simons)	Uht0dxfz2no	high	search	75	247	Afrojack	Take Over Control (Radio Edit) (feat. Eva Simons)	rVjcLL9WwU8 57 Spinnin' Records: Afrojack ft. Eva Simons - Take Over Control (Official Music Video) [HD] | jOZXMjbKD_w 39 Robbins Entertainment: Afrojack featuring Eva Simons- Take Over Control (Official Radio Edit) | adGVpCsf9N4 21 Spinnin' Records: Afrojack ft. Eva Simons - Take Over Control (Official Radio Mix)
AJR	100 Bad Days	2c4dB52ehAE	high	search	95	214	AJR	AJR - 100 Bad Days (Official Video)	eJMTnp6GW8Q 69 AJR Audio's: AJR - 100 Bad Days (Official Audio) | fOUXlz3kcHQ 46 LYMusics: AJR - 100 Bad Days (Lyrics) | 8693EvtJOpg 45 Its ok koy: 100 Bad Days - AJR
Alanis Morissette	Ironic	Jne9t8sHpUc	high	search	89	247	Alanis Morissette	Alanis Morissette - Ironic (Official 4K Music Video)	AakBK5leleE 78 Alanis Morissette: Ironic | H4bIXVTsJck 77 Alanis Morissette: Ironic | KPwo8RBeh-g 43 BBC Music: Alanis Morissette - Ironic | Glastonbury 2025
Alesso	Cool (feat. Roy English)	-aWtrEFfS4E	high	search	87	238	Alesso	Alesso - Cool ft. Roy English	Gi7ULog9PC0 86 Alesso: Alesso - Cool Feat. Roy English | zNIjY8QvmTc 40 Ivan Reyes: Alesso Feat. Roy English - Cool (Lyric Video) | draDyga8-tE 9 IAMSRR: Alesso - Cool ft. Roy English (LIVE at Tomorrowland 2015)
Alesso	Heroes (we could be) (feat. Tove Lo)	a7SouU3ECpU	high	search	87	295	Alesso	Alesso - Heroes (we could be) ft. Tove Lo	FBUJiUCWiz8 83 Alesso: Alesso - Heroes (We Could Be) ft Tove Lo (BBC Radio 1 Pete Tong World Premiere) | GwlOOLBASbw 76 Alesso: Heroes (We Could Be) | 1ZCxXjDlaf8 46 7clouds: Alesso, Tove Lo - Heroes (Lyrics) we could be
Alesso	In Your Eyes (feat. OneRepublic)	bS9C1ipyMy8	high	search	86	217	Alesso	Alesso, OneRepublic - In Your Eyes (Visualizer)	3EvujYssSZ4 64 Alesso and OneRepublic: Alesso, OneRepublic - In Your Eyes | BRZQXWilYyI 40 Vivo Lyrics: Alesso, OneRepublic - In Your Eyes (Lyrics) | goDRdGHLfjs 39 Impulse Records: Alesso - In Your Eyes (feat. Onerepublic)
Alex Sampson	This Christmas (Feels Like Love)	JPQuWHm-TYM	high	search	95	159	Alex Sampson	Alex Sampson - This Christmas (Feels Like Love) [Official Audio]	SFBeeUKP3-g 86 Alex Sampson: Alex Sampson - This Christmas (Feels Like Love) [Official Lyric Video] | Q_eYCtzsndI 48 Brianbaliey: Brianbaliey & Alex sampson - This Christmas (Feels Like Love) (Official Audio) | _VsqsnrqdVk 39 BK Riha: This Christmas (Feels Like Love) by Alex Sampson | SSATB a cappella
Alex Warren	Carry You Home	d4iGZ_jP-1U	high	search	95	188	Alex Warren	Alex Warren - Carry You Home (Official Video)	RQorrnJIc2Q 85 Alex Warren: Alex Warren - Carry You Home (Official Wedding Video) | LD24ridA9Zs 84 Alex Warren: Alex Warren - Carry You Home (feat. Ella Henderson) | kEPZ9r7iNdc 83 Alex Warren: Alex Warren - Carry You Home (Official Lyric Video)
Alexander Stewart	broken by you	J1YAu-pOCac	high	search	95	174	Alexander Stewart	Alexander Stewart - broken by you (Official Music Video)	69yH2yclt7c 46 VibesOnly: Alexander Stewart - ​​broken by you (Lyrics) | NmddmMHHVYg 40 LuckMusic: Broken by You - Alexander Stewart | wchduXpFExU 39 Brian: Alexander Stewart Performs Broken by You on CBC 2025
ALEXSUCKS	Flowers & Dirt	QR050E82BlA	high	search	95	129	alexsucks	alexsucks - Flowers & Dirt (Official Music Video)	ivqp0TcB2S4 86 alexsucks: alexsucks - Flowers & Dirt (Official Lyric Video) | LnOSjsT0exs 38 DJ SEU MUNIZ: ALEXSUCKS - Flowers & Dirt | vjK0x2yfSQI 26 alexsucks: alexsucks - Worm in the Sun (Official Music Video)
Alice Cooper	Poison	Qq4j1LtCdww	low	search	64	269	Official Alice Cooper	Alice Cooper - Poison	PodQg-qgUXs 46 7clouds Rock: Alice Cooper - Poison (Lyrics) | 9K2ktd6Ajkc 40 Retro Gaming Museum: Alice Cooper - Poison | obad6G5_1AA 39 Mr.Gaetano: Alice Cooper - Poison (High-Quality Audio)
Alice Deejay	Better Off Alone	Lgs9QUtWc3M	high	search	95	176	Alice Deejay	Alice Deejay - Better Off Alone (Official Video)	Ck0LO6b6OQc 78 Alice Deejay: Better Off Alone | 5nEWN4VX1MM 75 Alice Deejay: Better Off Alone | 6j9J9FLIafk 53 Alice Deejay: Better Off Alone (Remastered) (1999 Original Mix)
All Time Low	The Weather	KG9e_snLxy4	high	search	95	196	All Time Low	All Time Low: The Weather [Official Video]	RSAjHORvJ78 78 All Time Low: The Weather | n9OsN-nl1_M 54 All Time Low: All Time Low - The Weather | Live From Vevo Studios | XtcEFY92vuk 53 All Time Low: All Time Low - The Weather (Live from Vans Warped Tour, Orlando FL 2025)
Allison Russell	Stay Right Here	0Z5XX61ZlbM	high	search	95	247	Allison Russell	Allison Russell - Stay Right Here (Official Visualizer)	"3dUSLmKrpSw 45 BBC Music: Allison Russell - Stay Right Here | Later... with Jools Holland | B999LKSx5aA 30 Larry Hinze: ALLSION RUSSELL * Stay Right Here       2023  HQ | LzQJTR1rKe4 13 CBC Music: Watch Allison Russell perform ""Stay Right Here"" on CBC Music Live"
Almost Monday	can't slow down	2v18oySsS58	high	search	95	180	almost monday	almost monday - can't slow down (official video)	rID6KSx8BAU 53 almost monday: almost monday - can't slow down (Live from London) | 5T3t6n6os6o 45 Chill Only: almost monday - can't slow down (Lyrics) | 2h0nk5BVcxI 41 BIRP!: almost monday – can't slow down
Almost Monday	enjoy the ride	nNYOk4y8RsA	high	search	87	188	almost monday	almost monday - enjoy the ride	jDL7xujzuIk 41 AKR LYRICS: almost monday - enjoy the ride (Lyrics) | HDovMHXR49g 39 kasperdog2000: Almost Monday - enjoy the ride - October 30, 2025 | 2v18oySsS58 26 almost monday: almost monday - can't slow down (official video)
Almost Monday	is it too late?	K296A5tuYGw	high	search	95	163	almost monday	almost monday - is it too late? (official video)	ULdHbiHrBdM 38 czeringue: Almost Monday - Is It Too Late at the Toyota Music Factory in Dallas | 2v18oySsS58 28 almost monday: almost monday - can't slow down (official video) | IgRSVLYiVgY 11 WKFS: Almost Monday - Is It Too Late / Can't Slow Down [Live] @ Brighton Music Hall, Boston, MA 2025.02.0
Almost Monday	lost	4UZ1itzJOH8	high	search	87	186	almost monday	almost monday - lost	dj3lSVECuVw 41 Cosgrove: almost monday - lost (Visualizer) | 1kAOuYca7ek 38 Sean Gargan: Almost Monday -Lost @ IHeart Radio ALTer Ego 2026 | iczsZVZxHKs 28 almost monday: almost monday - no more regrets (official video)
Almost Monday	no more regrets	iczsZVZxHKs	high	search	95	184	almost monday	almost monday - no more regrets (official video)	NlGHgXGKYFU 56 almost monday: almost monday - no more regrets | Live From Vevo Studios | wF2JFIkqWGk 40 LyricArch: Almost Monday - No More Regrets (Lyrics) | _R8EW4SwNpE 39 Max Hazragvir XIII: almost monday - no more regrets (Lyric Video) New Release
Almost Monday	only wanna dance	pKtKkDly0Kk	high	search	95	154	almost monday	almost monday - only wanna dance (official video)	ziOVTrt8lJU 46 David Dean Burkhart: almost monday - only wanna dance | ZR_7yQZQ3gg 46 All About Las Vegas: almost monday   only wanna dance official video | kxzDQdpGd4A 40 Max Music: almost monday - only wanna dance
Almost Monday	she likes sports	X8L6OTiDVbw	high	search	95	167	almost monday	almost monday - she likes sports (official video)	d8KVU122YcQ 46 MOODLY: [THAISUB] she likes sports - almost monday | XRYIAxkaiTk 39 botondb: almost monday - she likes sports - Rock Werchter, Werchter 2025/07/05 | yGbFQOgt6C8 38 ximoonchild;: Almost Monday - ‘she likes sports’ || (Traducida al español + Lyrics)
Alok	All By Myself (feat. Sigala, Ellie Goulding)	q2Bg0kyxKoY	high	search	95	176	Alok	Alok, Sigala, Ellie Goulding - All By Myself (Official Video)	g8C17FSbzBo 94 Alok: Alok x Sigala x Ellie Goulding - All By Myself (Official Visualizer) | vt_YvYdAmH0 58 Alok: Alok, Sigala, Ellie Goulding – All By Myself (Club Mix) | jjyXhmJ0cCA 45 The Vibe Guide: Alok, Sigala, Ellie Goulding - All By Myself (Lyrics)
Alok	Deep Down (feat. Ella Eyre, Kenny Dope, Never Dull)	RQQY_zjjLxo	high	search	94	166	Alok	Alok x Ella Eyre x Kenny Dope feat. Never Dull – Deep Down (Official Visualizer)	WJvtX-Ec1S8 87 Alok: Alok x Ella Eyre x Kenny Dope feat. Never Dull – Deep Down (Lyric Video) | QS9UP3a9690 83 Alok: Alok x Never Dull x Kenny Dope feat. Ella Eyre & Crystal Waters - Deep Down  (In My Mind Edit) | NhjQNa_MO2I 59 Alok: Alok x Ella Eyre x Kenny Dope feat. Never Dull – Deep Down (Club Mix)
Alok	Hear Me Now (feat. Zeeba, Bruno Martini)	bbOw3Q2cRrw	high	search	83	315	Alok	Alok, Bruno Martini feat. Zeeba - Hear Me Now (Club Edit)	JVpTp8IHdEg 57 Spinnin' Records: Alok, Bruno Martini feat. Zeeba - Hear Me Now (Official Music Video) [4K] | yPCCBxqn45U 44 Pizza Music: Alok, Zeeba, Bruno Martini - Hear Me Now (Lyrics) | YKCr1bdwy0c 41 Mazeh Music: Alok, Bruno Martini feat. Zeeba | Hear Me Now [Lyrics]
Alok	Looking For Love (feat. Anitta)	ZvJqGOfsn8A	high	search	95	179	Alok	Alok & Anitta – Looking For Love (Official Video)	n8cin5kOKjk 46 Anitta: Alok & Anitta - Looking For Love (Official Lyric Video) | xHI9RGJkE24 45 Illumi Music: Alok & Anitta - Looking For Love | izOFSAbqd9I 44 Creative Chaos: Alok & Anitta - Looking For Love (Lyrics)
Alok	To The Moon (Feat. ILLENIUM)	vp8qL6kfjQs	low	search	64	270	Alok and ILLENIUM	Alok & ILLENIUM – To The Moon (Lyric Video)	T1gh4PTo3XY 56 Alok: Alok x ILLENIUM - To The Moon @ live at Keep Art Human São Paulo | xpgjaNiosVQ 45 WaveMusic: Alok, ILLENIUM - To The Moon (Lyrics) | Rwb1jBvZ7D0 44 Virtuau: Alok, ILLENIUM - To The Moon (Traducida al Español)
Alok	Work With My Love (Feat. James Arthur)	FPOyxPIpzcU	high	search	84	154	Alok	Alok & James Arthur - Work With My Love (Official Lyric Video)	ci3DrZXedS4 58 Alok: Alok & James Arthur – Work With My Love (Club Mix) | MIWV-oRxjps 55 James Arthur: Alok & James Arthur - Work With My Love (Official Visualizer) | Ar80f2ZvuD4 46 The Vibe Guide: Alok, James Arthur - Work With My Love (Lyrics)
Alok, Jennifer Lopez	Everything's Fine (PM)	omuBaHRavpQ	low	search	39	167	Alok and Jennifer Lopez	Alok & Jennifer Lopez – Everything’s Fine (PM) (Official Lyric Video)	8II8lFbpOyY 38 Jennifer Lopez and Alok: Alok & Jennifer Lopez – Everything’s Fine (AM) (Official Lyric Video) | 1fuRCMItvbQ 32 JLover Gr: Jennifer Lopez, Alok - Everything's Fine (PM) (Audio) | rqXNhFWLJUo 30 JLover Gr: Jennifer Lopez, Alok - Everything's Fine (AM) (Audio)
Amber	This Is Your Night	CZOOILsoN9Y	high	search	75	241	Amber	This Is Your Night (Original Edit)	"26K5UkTucI0 51 Amber: This Is Your Night (Original 12"" Mix) | TOqDdQmuypw 44 Tommy Boy: Amber - This is Your Night (Official 4K Music Video) | 54XoEIYMqjU 41 Tommy Boy: Amber - This Is Your Night"
America	Ventura Highway	E-BaXyirqi4	high	search	86	220	America	America - Ventura Highway (Musikladen, 1975)	"dAUUy7NMnaY 42 MNDXer1049: America - Ventura Highway (High Quality) | pdiHe6668iQ 40 Joanne Cooper Play Along Videos: Ventura Highway by America play along with scrolling guitar chords and l | uKEV-vttTm4 39 Ned Miller: America - ""Ventura Highway"". In the Sunshine."
American Authors	Christmas Karaoke	EhEFTHJtnAk	high	search	87	161	American Authors	"American Authors - ""Christmas Karaoke"" (Official Lyric Video)"	asIzK7bXLDg 41 GILL LYRICS: American Authors - Christmas Karaoke Lyrics | YFSu6l0skcI 3 American Authors: American Authors Yule Log (2023) | a6JskTwyQ3s -20 Sing King: American Authors - Best Day Of My Life (Karaoke Version)
American Authors	Coming Home To You	_51WoTSB7Wc	high	search	87	186	American Authors	American Authors - Coming Home To You (Audio)	4ZB2JesBv8A 20 American Authors: American Authors - Bring It On Home ft. Phillip Phillips, Maddie Poppe | fWEf1buNM54 19 American Authors: American Authors - Bring It On Home [featuring Phillip Phillips & Maddie Poppe] (Stripp | jY-rA0mQ2JU 13 American Authors: Come Home to Me
